group,id,course,semester,grade
1,41,Architecture and Sculpture,1,12.6
1,41,Architecture and Sculpture,1,17.7
1,41,Architecture and Sculpture,1,12.1
1,41,Architecture and Sculpture,1,15.2
1,41,Architecture and Sculpture,1,19.1
1,41,Architecture and Sculpture,1,14.3
1,41,Architecture and Sculpture,1,13.7
1,41,Architecture and Sculpture,1,14.2
1,41,Architecture and Sculpture,1,13.4
1,41,Astrology and Astrology,1,4
1,41,Astrology and Astrology,1,12.5
1,41,Astrology and Astrology,1,8.25
1,41,Astrology and Astrology,1,14
1,41,Astrology and Astrology,1,13.75
1,41,Astrology and Astrology,1,9.5
1,41,Astrology and Astrology,1,8.25
1,41,Astrology and Astrology,1,10.5
1,41,Ayurveda and Traditional Medicine,2,13
1,41,Ayurveda and Traditional Medicine,2,13
1,41,Ayurveda and Traditional Medicine,2,17.75
1,41,Ayurveda and Traditional Medicine,2,10.5
1,41,Ayurveda and Traditional Medicine,2,8.5
1,41,History and Civilization of India,2,8.25
1,41,History and Civilization of India,2,13.25
1,41,History and Civilization of India,2,5.5
1,41,Martial Arts and Self-Defense,2,4.1
1,41,Martial Arts and Self-Defense,2,2.6
1,41,Martial Arts and Self-Defense,2,2.3
1,41,Martial Arts and Self-Defense,2,2.6
1,41,Martial Arts and Self-Defense,2,12.7
1,41,Music and Dance,2,16.1
1,41,Music and Dance,2,10
1,41,Music and Dance,2,11.8
1,41,Politics and Diplomacy,2,5.25
1,41,Politics and Diplomacy,2,11.25
1,41,Politics and Diplomacy,2,12.5
1,41,Politics and Diplomacy,2,8.75
1,41,Sanskrit Language and Literature,2,14.7
1,41,Sanskrit Language and Literature,2,12.1
1,41,Sanskrit Language and Literature,2,12.1
1,41,Sanskrit Language and Literature,2,12.4
1,41,Sanskrit Language and Literature,2,17.2
1,41,Sanskrit Language and Literature,2,15.2
1,41,Vedic Philosophy and Spirituality,1,8.5
1,41,Vedic Philosophy and Spirituality,1,8
1,41,Vedic Philosophy and Spirituality,1,6
1,41,Vedic Philosophy and Spirituality,1,7
1,41,Vedic Philosophy and Spirituality,1,8
1,41,Yoga and Meditation,2,9.5
1,41,Yoga and Meditation,2,10.5
1,41,Yoga and Meditation,2,10.5
1,41,Yoga and Meditation,2,12.5
1,41,Yoga and Meditation,2,12.5
1,41,Yoga and Meditation,2,11
1,93,Architecture and Sculpture,1,10.9
1,93,Architecture and Sculpture,1,14.5
1,93,Architecture and Sculpture,1,14
1,93,Architecture and Sculpture,1,15.8
1,93,Architecture and Sculpture,1,16.5
1,93,Architecture and Sculpture,1,14
1,93,Architecture and Sculpture,1,13.5
1,93,Architecture and Sculpture,1,10.5
1,93,Architecture and Sculpture,1,11.1
1,93,Astrology and Astrology,1,14.5
1,93,Astrology and Astrology,1,6.75
1,93,Astrology and Astrology,1,9.5
1,93,Astrology and Astrology,1,5.75
1,93,Astrology and Astrology,1,11.5
1,93,Astrology and Astrology,1,6.75
1,93,Astrology and Astrology,1,1.5
1,93,Astrology and Astrology,1,7.5
1,93,Ayurveda and Traditional Medicine,2,14.75
1,93,Ayurveda and Traditional Medicine,2,13.5
1,93,Ayurveda and Traditional Medicine,2,9
1,93,Ayurveda and Traditional Medicine,2,13.75
1,93,Ayurveda and Traditional Medicine,2,15.25
1,93,History and Civilization of India,2,10.75
1,93,History and Civilization of India,2,7.5
1,93,History and Civilization of India,2,11.75
1,93,Martial Arts and Self-Defense,2,3.3
1,93,Martial Arts and Self-Defense,2,7.6
1,93,Martial Arts and Self-Defense,2,6
1,93,Martial Arts and Self-Defense,2,9.9
1,93,Martial Arts and Self-Defense,2,12.5
1,93,Martial Arts and Self-Defense,2,9.9
1,93,Music and Dance,2,11.8
1,93,Music and Dance,2,9.6
1,93,Music and Dance,2,14.3
1,93,Politics and Diplomacy,2,10.25
1,93,Politics and Diplomacy,2,9.5
1,93,Politics and Diplomacy,2,12.75
1,93,Politics and Diplomacy,2,5.5
1,93,Politics and Diplomacy,2,10.5
1,93,Sanskrit Language and Literature,2,13.8
1,93,Sanskrit Language and Literature,2,14
1,93,Sanskrit Language and Literature,2,12.3
1,93,Sanskrit Language and Literature,2,12
1,93,Sanskrit Language and Literature,2,13.7
1,93,Sanskrit Language and Literature,2,16.1
1,93,Vedic Philosophy and Spirituality,1,6.5
1,93,Vedic Philosophy and Spirituality,1,8
1,93,Vedic Philosophy and Spirituality,1,8.5
1,93,Vedic Philosophy and Spirituality,1,8
1,93,Vedic Philosophy and Spirituality,1,5
1,93,Vedic Philosophy and Spirituality,1,12.5
1,93,Vedic Philosophy and Spirituality,1,7
